Ticker,Security ,Currency 
CAN,EK246535 Corp,CAD
Q,EF718136 Corp,CAD
OIS Invoice Swap Spread,TUAISPO Comdty,USD
OIS Invoice Swap Spread,FVAISPO Comdty,USD
OIS Invoice Swap Spread,TYAISPO Comdty,USD
OIS Invoice Swap Spread,USAISPO Comdty,USD
Invoice Swap Spread,TUAISP Comdty,USD
Invoice Swap Spread,FVAISP Comdty,USD
Invoice Swap Spread,TYAISP Comdty,USD
Invoice Swap Spread,USAISP Comdty,USD
Invoice Swap Spread,WNAISP Comdty,USD
OIS Invoice Swap Spread,WNAISPO Comdty,USD
Gov Index,USGG2YR Index,USD
Gov Index,USGG5YR Index,USD
Gov Index,USGG10YR Index,USD
Gov Index,USGG30YR Index,USD
Swap Rate,USSW2 BGN Curncy,USD
Swap Rate,USSW5 BGN Curncy,USD
Swap Rate,USSW10 BGN Curncy,USD
Swap Rate,USSW30 BGN Curncy,USD
OIS Rate,USSO1 BGN Curncy,USD
OIS Rate,USSO2 BGN Curncy,USD
OIS Rate,USSO3 BGN Curncy,USD
OIS Rate,USSO4 BGN Curncy,USD
OIS Rate,USSO5 BGN Curncy,USD
OIS Rate,USSO6 BGN Curncy,USD
OIS Rate,USSO7 BGN Curncy,USD
OIS Rate,USSO8 BGN Curncy,USD
OIS Rate,USSO9 BGN Curncy,USD
OIS Rate,USS10 BGN Curncy,USD
OIS Rate,CDSO1 BGN Curncy,CAD
OIS Rate,CDSO2 BGN Curncy,CAD
OIS Rate,CDSO3 BGN Curncy,CAD
OIS Rate,CDSO4 BGN Curncy,CAD
OIS Rate,CDSO5 BGN Curncy,CAD
OIS Rate,CDS06S Index,CAD
OIS Rate,CDSO7 CMPN Curncy,CAD
OIS Rate,CDS08S Index,CAD
OIS Rate,CDS09S Index,CAD
OIS Rate,CDSO10 CMPN Curncy,CAD
Libor Rate,USSWAP1 BGN Curncy,USD
Libor Rate,USSWAP2 BGN Curncy,USD
Libor Rate,USSWAP3 BGN Curncy,USD
Libor Rate,USSWAP4 BGN Curncy,USD
Libor Rate,USSWAP5 BGN Curncy,USD
Libor Rate,USSWAP6 BGN Curncy,USD
Libor Rate,USSWAP7 BGN Curncy,USD
Libor Rate,USSWAP8 BGN Curncy,USD
Libor Rate,USSWAP9 BGN Curncy,USD
Libor Rate,USSWAP10 BGN Curncy,USD
Libor Rate,CDSW1 BGN Curncy,CAD
Libor Rate,CDSW2 BGN Curncy,CAD
Libor Rate,CDSW3 BGN Curncy,CAD
Libor Rate,CDSW4 BGN Curncy,CAD
Libor Rate,CDSW5 BGN Curncy,CAD
Libor Rate,CDSW6 BGN Curncy,CAD
Libor Rate,CDSW7 BGN Curncy,CAD
Libor Rate,CDSW8 BGN Curncy,CAD
Libor Rate,CDSW9 BGN Curncy,CAD
Libor Rate,CDSW10 BGN Curncy,CAD
Swap Spread,USSP1 BGN Curncy,USD
Swap Spread,USSP2 BGN Curncy,USD
Swap Spread,USSP3 BGN Curncy,USD
Swap Spread,USSP4 BGN Curncy,USD
Swap Spread,USSP5 BGN Curncy,USD
Swap Spread,USSP6 BGN Curncy,USD
Swap Spread,USSP7 BGN Curncy,USD
Swap Spread,USSP8 BGN Curncy,USD
Swap Spread,USSP9 BGN Curncy,USD
Swap Spread,USSP10 BGN Curncy,USD
Swap Spread,USSP15 BGN Curncy,USD
Swap Spread,USSP20 BGN Curncy,USD
Swap Spread,USSP30 BGN Curncy,USD
Swap Spread,CDSS2 BGN Curncy,CAD
Swap Spread,CDSS3 BGN Curncy,CAD
Swap Spread,CDSS4 BGN Curncy,CAD
Swap Spread,CDSS5 BGN Curncy,CAD
Swap Spread,CDSS6 BGN Curncy,CAD
Swap Spread,CDSS7 BGN Curncy,CAD
Swap Spread,CDSS8 BGN Curncy,CAD
Swap Spread,CDSS9 BGN Curncy,CAD
Swap Spread,CDSS10 BGN Curncy,CAD
